ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,PricePrediction
1350,Super built-up  Area,18-May,Hosa Road,2 BHK,,1079,2.0,1.0,32.37,32.52260416666667
2012,Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,1765,3.0,3.0,105.0,104.05337053571428
1965,Super built-up  Area,Ready To Move,Sree Narayana Nagar,3 BHK,Sholaya,1358,3.0,3.0,50.0,56.60875
9800,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,3335,4.0,3.0,290.0,275.1875
251,Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060,2.0,2.0,55.0,60.65625
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,59.865312500000044
5563,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,3Codeli,1475,2.0,2.0,55.0,62.773125
4121,Plot  Area,Ready To Move,Laxmi Sagar Layout,3 Bedroom,Pudgear,3100,3.0,3.0,250.0,254.5390625
4793,Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1680,3.0,0.0,135.0,125.66510416666667
265,Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4.0,0.0,52.8,72.46875
8029,Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,873,2.0,1.0,40.0,39.5
2865,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GaicaVe,1015,2.0,1.0,56.0,61.65625
914,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,52.0,51.700637626262626
7172,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2365,4.0,2.0,175.0,173.78125
1479,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,,1300,2.0,3.0,55.0,57.5
3400,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1200,3.0,1.0,50.0,51.6495625
