ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price
5321,Built-up  Area,18-Jan,Lal Bahadur Shastri Nagar,2 BHK,,856,2.0,1.0,48.0
2858,Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660,1.0,1.0,54.0
6718,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Chhamku,1590,2.0,3.0,85.0
9472,Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,,720,4.0,1.0,95.0
1901,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1300,2.0,2.0,52.0
6138,Super built-up  Area,18-Apr,Kacharakanahalli,2 BHK,,865,2.0,1.0,35.11
1569,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3516,4.0,3.0,540.0
8655,Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,432,2.0,1.0,65.0
347,Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3.0,1.0,49.36
1242,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungsha,1150,2.0,1.0,49.0
6422,Plot  Area,Ready To Move,Giri Nagar,6 Bedroom,,2400,6.0,1.0,400.0
7954,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,1580,3.0,1.0,73.0
4786,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,15.0
2152,Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,,1875,2.0,3.0,235.0
8312,Super built-up  Area,21-Jun,Tumkur Road,1 BHK,Coowsri,596 - 861,1.0,0.0,31.315
7255,Super built-up  Area,19-Apr,Ambalipura,2 BHK,Sisice ,950,2.0,1.0,31.95
9293,Super built-up  Area,18-May,KEB Colony,2 BHK,,1040,2.0,2.0,36.84
3979,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,60.98
10090,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1299,2.0,1.0,105.0
4441,Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1175,2.0,1.0,57.0
5537,Built-up  Area,Ready To Move,Frazer Town,3 BHK,CaaveEn,188.89Sq. Yards,3.0,1.0,180.0
7764,Plot  Area,Ready To Move,7th Block Jayanagar,4 Bedroom,,2400,3.0,2.0,480.0
5676,Super built-up  Area,Ready To Move,Akshayanagara East,3 BHK,,1519,3.0,2.0,67.23
763,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,667,1.0,1.0,36.85
10590,Plot  Area,Ready To Move,RMC YARD,7 Bedroom,,1900,3.0,0.0,162.0
9742,Built-up  Area,Ready To Move,Amblipura,3 BHK,SuodsAc,1300,2.0,1.0,80.0
9436,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,83.0
1222,Plot  Area,Ready To Move,Ulsoor,9 Bedroom,,2300,8.0,1.0,210.0
6686,Super built-up  Area,Ready To Move,High grounds,3 BHK,,1900,2.0,2.0,190.0
2134,Built-up  Area,Ready To Move,ITI Layout,3 BHK,Arnorya,1533,3.0,2.0,115.0
7438,Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,Mazler ,1350,3.0,2.0,68.0
8906,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1101,2.0,2.0,66.0
8353,Plot  Area,Ready To Move,Kengeri Satellite Town,2 Bedroom,,2480,2.0,1.0,160.0
1575,Plot  Area,Ready To Move,Kogilu,7 Bedroom,,925,7.0,3.0,88.0
509,Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195,2.0,1.0,70.0
10403,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,,1600,2.0,1.0,65.0
7816,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1299,2.0,2.0,95.0
1259,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1035,2.0,1.0,45.0
8645,Super built-up  Area,19-Dec,Cunningham Road,4 BHK,,5108,5.0,2.0,995.0
4704,Super built-up  Area,18-Apr,Electronic City,3 BHK,Sie 2is,1105,2.0,1.0,35.0
2189,Built-up  Area,Ready To Move,Prithvi Layout,2 BHK,,1190,2.0,2.0,68.0
711,Super built-up  Area,Ready To Move,Chandapura,2 BHK,,1200,2.0,2.0,32.0
7425,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1730,3.0,2.0,115.0
9733,Built-up  Area,Ready To Move,Neelamangala,2 BHK,,1163,2.0,2.0,68.0
4007,Built-up  Area,Ready To Move,"Sarjapur Road, ",4 BHK,,2425,4.0,3.0,173.0
4112,Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,,1500,6.0,,240.0
5312,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,1575,2.0,2.0,90.0
1372,Built-up  Area,Ready To Move,Kothannur,2 BHK,,1100,2.0,2.0,40.0
712,Super built-up  Area,Ready To Move,Koramangala,3 BHK,TealeRo,1580,3.0,2.0,160.0
8723,Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,3.0,309.0
2312,Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1340,2.0,3.0,53.6
6071,Built-up  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,,1550,4.0,1.0,120.0
2287,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1200,2.0,1.0,78.0
7966,Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,,2400,3.0,,270.0
1482,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1065,2.0,1.0,35.0
6289,Built-up  Area,Ready To Move,OLd Gurappanapalya,3 BHK,SoliaMa,1942,3.0,1.0,155.0
5014,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,104.0
2894,Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,,730,1.0,1.0,35.0
1794,Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1690,2.0,2.0,55.0
9928,Super built-up  Area,Ready To Move,Magadi Road,2 BHK,,940,2.0,2.0,50.0
1821,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1574Sq. Yards,3.0,1.0,76.0
4074,Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1407,3.0,1.0,120.0
9245,Carpet  Area,18-Dec,Bhoganhalli,3 BHK,Rosha I,1234.6,3.0,1.0,104.0
7189,Super built-up  Area,Ready To Move,Shanti Nagar,4 BHK,HViesar,3000,4.0,,240.0
1741,Super built-up  Area,Ready To Move,Laggere,1 BHK,,1200,1.0,1.0,48.0
1658,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.39
212,Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798,3.0,2.0,89.0
9679,Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,Patri M,1319,3.0,1.0,37.75
9565,Super built-up  Area,Ready To Move,Varthur,3 BHK,CaestSr,1520,2.0,2.0,60.0
323,Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,1200,4.0,3.0,165.0
10040,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1160,2.0,1.0,67.0
1097,Built-up  Area,Ready To Move,Jalahalli,5 BHK,BrardCo,3100,4.0,,265.0
9411,Super built-up  Area,Ready To Move,Varthur,2 BHK,MKllei ,1155,2.0,2.0,39.0
1359,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1200,2.0,1.0,54.0
334,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3.0,2.0,215.0
4032,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Kaiew L,1212,3.0,1.0,42.0
1613,Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,Sanzaat,1564,2.0,1.0,92.0
9802,Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,,1320,2.0,1.0,95.0
792,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1296,2.0,2.0,83.0
233,Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2.0,2.0,42.0
3404,Super built-up  Area,22-Dec,2nd Phase Judicial Layout,1 BHK,,525,1.0,1.0,26.0
8243,Built-up  Area,Ready To Move,Nelamangala,2 BHK,,820,2.0,2.0,30.0
9284,Plot  Area,Ready To Move,Whitefield,3 Bedroom,Anlthmo,1200,3.0,1.0,56.72
9727,Built-up  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4800,4.0,3.0,420.0
7066,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,39.9
5007,Super built-up  Area,18-Jul,9th Phase JP Nagar,2 BHK,,1050,2.0,2.0,39.0
6107,Super built-up  Area,18-Mar,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,90.0
3017,Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1100,2.0,2.0,47.0
7100,Super built-up  Area,18-Aug,Chandapura,2 BHK,SuVue S,950,2.0,1.0,25.65
3061,Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Tencyes,1400,2.0,3.0,67.0
8506,Super built-up  Area,18-Jun,Sarjapur  Road,3 BHK,PualeSk,1700,3.0,1.0,194.0
5505,Built-up  Area,Ready To Move,Daadys Gaarden Layout,3 BHK,InockHo,1740,3.0,2.0,55.0
871,Built-up  Area,Ready To Move,Kodigehaali,3 BHK,Shyas S,1320,3.0,0.0,65.0
1263,Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1586,3.0,1.0,100.0
1618,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1600,3.0,2.0,75.0
8304,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,49.34
10075,Plot  Area,Ready To Move,"Yelahanka,MVIT college",1 Bedroom,,10030,1.0,1.0,150.0
9255,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Guranya,1535,3.0,3.0,60.0
5749,Plot  Area,Ready To Move,Hennur Road,4 Bedroom,,2400,5.0,3.0,390.0
2589,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,73.0
1220,Plot  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,,800,7.0,3.0,105.0
2473,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Saconp ,1625,3.0,2.0,55.0
1765,Super built-up  Area,19-Dec,Binny Pete,4 BHK,Shestlo,2695 - 2940,,,204.0
8706,Plot  Area,Ready To Move,Whitefield,3 Bedroom,Adowslm,1500,3.0,1.0,250.0
8912,Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1364,2.0,1.0,64.79
7040,Plot  Area,Ready To Move,Sahakara Nagar,2 Bedroom,,1200,2.0,1.0,136.0
1513,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2.0,1.0,39.0
3023,Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,,1080,4.0,1.0,75.0
6388,Built-up  Area,Ready To Move,Mullur,3 BHK,Arora A,2099,3.0,,95.0
7834,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1295,2.0,3.0,78.5
2701,Super built-up  Area,Ready To Move,Rayasandra,2 BHK,,1065,2.0,2.0,44.95
8196,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1025,2.0,1.0,35.88
3905,Super built-up  Area,Ready To Move,Battarahalli,2 BHK,Sancy L,1135,2.0,3.0,43.0
2791,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1525,3.0,2.0,96.0
6329,Super built-up  Area,Ready To Move,Chikkabanavar,2 BHK,Javasya,600,1.0,2.0,25.0
9174,Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1075,2.0,2.0,45.0
2110,Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,,1220,3.0,2.0,56.0
8097,Super built-up  Area,18-Aug,Konanakunte,4 BHK,Prasa W,3621,4.0,1.0,511.0
7933,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1850,3.0,2.0,150.0
6915,Super built-up  Area,Ready To Move,Vikram Nagar,2 BHK,Ranorar,950,2.0,2.0,38.0
2388,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1480,2.0,2.0,64.23
3707,Super built-up  Area,18-May,Kasavanhalli,3 BHK,,2170,3.0,2.0,151.0
4731,Super built-up  Area,18-Apr,Marathahalli,2 BHK,PuilaMi,1600,3.0,2.0,88.0
617,Built-up  Area,Ready To Move,R.T. Nagar,4 Bedroom,,1500,4.0,1.0,70.0
8039,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,2666,3.0,1.0,230.0
5023,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1250,2.0,2.0,40.0
7235,Super built-up  Area,Ready To Move,MCECHS  layout,2 BHK,,1200,2.0,2.0,54.0
745,Built-up  Area,Ready To Move,New Gurappana Palya,2 BHK,Alncy R,1100,2.0,0.0,48.0
6364,Plot  Area,Ready To Move,Banashankari Stage II,4 Bedroom,,1050,3.0,2.0,125.0
7754,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,32.92
6560,Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,46.0
4845,Super built-up  Area,20-Dec,Uttarahalli,1 BHK,PrdgeLa,661,1.0,1.0,36.0
9448,Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,,1200,2.0,1.0,36.0
8177,Built-up  Area,Ready To Move,Uday Nagar,3 BHK,Koncyad,1650,3.0,1.0,110.0
4828,Plot  Area,Ready To Move,Yelachenahalli,4 Bedroom,BaiseBa,900,2.0,1.0,115.0
3131,Super built-up  Area,21-Dec,Electronic City,3 BHK,KonteiT,1563,3.0,2.0,91.84
5143,Built-up  Area,Ready To Move,Venkatapura,4 BHK,ThBayah,3080,2.0,1.0,285.0
10358,Super built-up  Area,Ready To Move,KR Puram,2 BHK,,2000,2.0,0.0,75.0
4645,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,NCold G,1080,2.0,2.0,73.0
5538,Built-up  Area,Ready To Move,Nelamangala,4 Bedroom,V2gesre,2600,3.0,1.0,95.0
6712,Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,Vasisvi,1480,2.0,1.0,80.0
1313,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,HIideSu,1495,2.0,0.0,64.0
3101,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1350,2.0,2.0,54.6
4245,Super built-up  Area,Ready To Move,Panathur,2 BHK,Suriaa ,1109,2.0,1.0,63.0
5015,Plot  Area,Ready To Move,8th Phase JP Nagar,9 Bedroom,,1200,8.0,,225.0
3290,Super built-up  Area,18-Mar,Hosakerehalli,3 BHK,SoageHe,1817,4.0,,153.0
6792,Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,Shitt S,1200,2.0,2.0,59.76
4638,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,,1645,2.0,2.0,82.0
653,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1210,2.0,2.0,58.0
8634,Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1020,2.0,1.0,48.0
8084,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1419,2.0,3.0,87.0
6252,Super built-up  Area,Ready To Move,Chandapura,2 BHK,PavesGr,876,2.0,2.0,29.5
8656,Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1460,2.0,3.0,51.1
5434,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1210,2.0,1.0,83.0
6901,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1175,2.0,2.0,60.0
2927,Plot  Area,Ready To Move,Nayandanahalli,7 Bedroom,,1600,7.0,1.0,104.0
7103,Super built-up  Area,Ready To Move,Harlur,3 BHK,,1752.12,3.0,2.0,133.0
5564,Built-up  Area,20-Jul,Sarjapur  Road,3 Bedroom,NVdenic,1939,3.0,0.0,98.0
611,Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1200,2.0,2.0,55.0
2351,Super built-up  Area,19-Mar,Kasavanhalli,3 BHK,Oca 2 V,1646,3.0,2.0,79.5
2114,Super built-up  Area,18-Aug,Doopanahalli,3 BHK,,1340,2.0,1.0,100.0
6730,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,ArrdsOr,1000,2.0,1.0,60.0
4706,Plot  Area,Ready To Move,A Narayanapura,4 Bedroom,,1650,4.0,3.0,320.0
8744,Plot  Area,Ready To Move,HAL 2nd Stage,4 Bedroom,,2400,4.0,1.0,650.0
511,Built-up  Area,Ready To Move,Medahalli,1 Bedroom,,700,1.0,0.0,41.0
6231,Plot  Area,Ready To Move,Hullahalli,5 Bedroom,,1200,5.0,2.0,99.0
6096,Plot  Area,Ready To Move,Banashankari Stage II,2 Bedroom,,500,2.0,1.0,55.0
